Ave_Freq	1	5	10	20	30	40	50	60	80	100	200	300	400	500
2242.9	25.00	40.00	47.67	56.33	58.33	59.33	61.00	62.33	65.33	68.67	76.33	81.67	83.00	84.33
641.6	22.33	33.00	42.33	48.33	52.00	55.67	59.67	60.33	63.67	65.33	72.33	76.67	81.00	82.33
294.0	18.67	32.67	38.00	42.00	46.33	48.67	50.67	53.33	56.67	58.33	68.00	73.00	76.00	79.00
153.1	18.67	29.33	36.33	42.33	46.33	48.00	50.67	52.67	56.67	58.33	65.00	69.00	72.33	74.00
89.6	18.00	27.00	32.00	37.00	40.33	44.33	47.33	48.33	52.67	54.33	63.67	67.00	70.00	72.67
56.0	16.67	29.00	33.33	38.33	43.00	47.00	49.33	50.67	52.67	54.67	60.67	64.67	69.00	72.33
36.8	13.67	21.33	26.33	29.33	33.00	36.67	39.67	41.00	45.00	48.00	56.00	61.00	64.67	67.33
25.3	12.00	18.67	22.00	25.67	27.67	30.67	32.33	33.67	36.67	39.33	46.00	51.67	56.00	59.00
17.5	11.00	16.67	19.67	22.00	24.00	25.33	28.33	30.00	31.33	33.33	39.67	43.33	47.00	48.00
12.4	4.67	8.33	10.33	15.33	17.67	19.00	20.67	22.33	24.33	25.00	30.00	32.67	35.00	36.67
