Ave_Freq	1	5	10	20	30	40	50	60	80	100	200	300	400	500
2158.0	22.33	35.67	43.00	52.33	56.67	58.67	61.67	62.67	66.33	69.33	77.00	81.00	84.33	85.67
649.1	21.67	36.00	42.67	49.33	52.33	56.33	59.67	60.67	62.67	64.67	71.67	77.33	79.33	82.33
288.2	20.33	33.00	40.67	46.33	50.67	52.67	55.00	56.33	59.33	61.67	72.00	76.00	79.00	80.00
153.5	17.67	29.67	36.67	42.67	46.00	47.67	50.33	52.00	55.00	56.33	63.67	69.00	71.00	72.33
88.6	18.00	31.33	36.33	45.00	47.33	49.67	54.00	55.33	58.00	60.00	67.00	71.67	74.33	76.33
55.2	17.33	27.00	32.33	38.00	43.33	47.33	51.00	52.33	55.33	58.00	63.33	67.00	71.00	73.00
36.8	12.00	22.33	27.33	33.00	36.33	40.33	42.00	43.67	47.33	50.00	57.67	62.67	64.33	66.33
25.2	11.33	16.67	21.33	25.67	27.67	28.67	30.33	32.00	34.33	38.00	44.67	49.33	52.00	54.33
17.5	9.67	19.00	23.00	24.67	26.67	28.67	29.33	31.33	33.00	33.33	41.00	45.67	48.33	50.33
12.4	5.67	10.67	13.67	18.67	21.33	22.67	24.67	26.67	30.00	31.00	36.33	40.00	42.33	45.67
